Vessel/Spill,Address,Lat/Lng,Date,Minimum Spill,Maximum Spill,Company,Refs
Tarik Ibn Ziyad,"Brazil, Santos","-23.9475247, -46.3367247",26-Mar-75,10000,20000,,[252][253][254]
Liberian tanker,"United States, Florida","27.6648274, -81.5157535","1,975",135,135,,[240]
Corinthos,"United States, Delaware River, Marcus Hook, Pennsylvania","39.8192794, -75.4185272",31-Jan-75,36000,36000,,
Jakob Maersk,"Portugal, Oporto","41.1579438, -8.629105299999999",29-Jan-75,88000,88000,,[163]
Afran Zodiac,"Ireland, Bantry Bay","51.65, -9.716667",10-Jan-75,451,451,,[255][256]
VLCC Metula,"Chile, Strait of Magellan","-53.58881719999999, -70.759749",09-Aug-74,50000,51000,,[257]
Oriental Pioneer,"South Africa, Struisbaai","-34.80678200000001, 20.0469",22-Jul-74,200,200,,[258][259]
Jawachta,"Sweden, Smygehuk","55.3384522, 13.3598038",20-Dec-73,3000,16000,,[260]
Trinimar Marine Well 327,"Venezuela, Gulf of Paria","10.2852654, -61.9813913",08-Aug-73,1091,1091,,[261]
Napier,"Chile, Guamblin Island","-44.8447222, -75.1077778",Jun-73,30000,30000,,[262]
S.S. Zoe Colocotronis Spill,"Puerto Rico, Lajas, Puerto Rico","18.049962, -67.0593449",18-Mar-73,5170,5170,Colocotronis brothers of Greece and Great Britain,[263]
Irish Stardust,"Canada, Vancouver Island, British Columbia","49.6506376, -125.4493906",Jan-73,450,450,,[264]
Sea Star,"Iran, Gulf of Oman","24.7142573, 58.73736339999999",19-Dec-72,115000,115000,Samyang Navigation,[151][163]
Oswego-Guardian / Texanita collision,"South Africa, Stilbaai","-34.3642194, 21.4335508",21-Aug-72,10000,10000,,[265]
Texaco Denmark,"Belgium, North Sea","51.11975289999999, 3.774843",07-Dec-71,107000,107000,,[266]
Navy tanker Towle,"United States, New York City, New York, Gravesend Bay","40.5918636, -73.9768653",14-Jul-71,123,123,,[267][268]
Texaco Oklahoma,United States,"37.09024, -95.712891",27-Mar-71,25700,31500,,[260][269]
Trinity Navigator,"United Kingdom, Devonshire","50.7155591, -3.530875",02-Mar-71,,,,[270]
Wafra,"South Africa, Cape Agulhas","-34.8311111, 20.0130556",21-Feb-71,27000,27000,,[271][272]
Arizona Standard / Oregon Standard collision,"United States, San Francisco Bay","37.6909682, -122.3107517",17-Jan-71,2700,2700,,[273][274][275]
