Vessel/Spill,Address,Lat/Lng,Date,Minimum Spill,Maximum Spill,Company,Refs
Chevron (Hurricane Katrina),"United States, Empire, Louisiana","29.3877189, -89.59728319999999",30-Aug-05,3200,3200,,[149]
Murphy Oil USA refinery spill (Hurricane Katrina),"United States, Meraux and Chalmette, Louisiana","29.92981709999999, -89.91471609999999",30-Aug-05,2660,3410,,[149] [150]
Bass Enterprises (Hurricane Katrina),"United States, Pointe à la Hache, Louisiana","29.5751225, -89.7901873",30-Aug-05,1500,1500,,[149]
Chevron (Hurricane Katrina),"United States, Port Fourchon, Louisiana","29.10556, -90.19444",30-Aug-05,170,170,,[149]
Venice Energy Services Company (Hurricane Katrina),"United States, Venice, Louisiana","29.2784888, -89.3594449",30-Aug-05,81,81,,[149]
Shell Pipeline Oil (Hurricane Katrina),"United States, Nairn, Louisiana","29.4279955, -89.6108947",30-Aug-05,44,44,Royal Dutch Shell,[149]
Sundown Energy (Hurricane Katrina),"United States, West Potash, Louisiana","29.4929944, -89.7056202",30-Aug-05,42,42,,[149]
MV Selendang Ayu,"United States, Unalaska Island, Alaska","53.58282819999999, -166.8882779",08-Dec-04,1560,1560,,[151]
Athos 1,"United States, Delaware River, Paulsboro, New Jersey","39.830391, -75.2404607",26-Nov-04,831,860,,[152][153]
"MP-80 Delta 20"" pipeline (Hurricane Ivan)","United States, Louisiana","30.9842977, -91.96233269999999",16 September 2004 � 19 September 2004,963,963,,[154]
"MP-69 Nakika 18"" & MP-151 Nakika 18"" pipeline (Hurricane Ivan)","United States, Louisiana","30.9842977, -91.96233269999999",16 September 2004 � 6 October 2004,618,618,,[154]
Chevron-Texaco tank collapse (Hurricane Ivan),"United States, Louisiana","30.9842977, -91.96233269999999",16 September 2004 � 17 September 2004,423,423,,[154]
Taylor oil spill,"United States, Gulf of Mexico near Louisiana","30.9842977, -91.96233269999999",16 September 2004 � present,970,490000,Taylor Energy,[155][156][157][158]
Berge Nice,"Chile, 5 miles east of Punta Delgada, Strait of Magellan","-52.315619, -69.6865621",14-May-04,160,160,,[148][159]
Tasman Spirit,"Pakistan, Karachi","24.8607343, 67.0011364",28-Jul-03,28000,30000,Polembros Shipping,[160][161]
Bouchard No. 120,"United States, Buzzards Bay, Bourne, Massachusetts","41.7453829, -70.618087",27-Apr-03,320,320,,[162]
Prestige,"Spain, Galicia","42.5750554, -8.1338558",13-Nov-02,63000,63000,Mare Shipping Inc.,[163][164][165]
Limburg (bombing),"Yemen, Gulf of Aden","12.533115, 47.922363",06-Oct-02,12200,12200,,[166][167]
Manguinhos refinery,"Brazil, Guanabara Bay, Rio de Janeiro","-22.8115667, -43.1544605",23-Nov-01,34,97,"Peixoto de Castro, Repsol YPF",[168]
Trans-Alaska Pipeline gunshot spill,"United States, Alaska","64.2008413, -149.4936733",04-Oct-01,932,932,Alyeska Pipeline Service Company,[169]
Jose Fuchs,"Chile, Moraleda Channel","-44.414722, -73.420556",2001,150,150,,[148]
Shell Ogbodo,Nigeria,"9.081999, 8.675277",25-Jun-01,9500,9500,Royal Dutch Shell,[170]
2001 Shell Ogoniland oil spill,Nigeria,"9.081999, 8.675277",May-01,,,Royal Dutch Shell,[171]
Petrobras 36,"Brazil, Roncador Oil Field, Campos Basin","39.7440734, -104.9889484",15-Mar-01,274,274,,[172]
Amorgos oil spill,South taiwan,"23.69781, 120.960515",14-Jan-01,1150,1150,,[173]
Jessica,"Ecuador, Galapagos Islands","-0.383106, -90.4233344",Jan-01,568,568,,[174] [175]
Pine River,"Canada, Chetwynd, British Columbia","55.6976802, -121.6296734",01-Aug-00,850,850,,[176]
Project Deep Spill,"Norway, Helland Hansen","29.0349641, -81.3032406",Jun-00,100,100,,[177]
Treasure,"South Africa, Cape Town","-33.9248685, 18.4240553",Jun-00,1400,1400,,[174]
Petrobras pipeline,"Brazil, Guanabara Bay, Rio de Janeiro","-22.8115667, -43.1544605",Jan-00,1100,1100,,[168][174]
Erika,"France, Bay of Biscay","45.5570384, -3.1632157",12-Dec-99,15000,25000,Total S.A.,[151][174]
Chanda,"Port Stanvac, South Australia","-35.1102132, 138.4909081",28-Jun-99,220,230,Essar Shipping,[178]
MV New Carissa,"United States, Coos Bay, Oregon","43.3665007, -124.2178903",4 February 1999 � 9 March 1999,230,230,,[179]
Mobil Nigeria oil spill,Nigeria,"9.081999, 8.675277",12-Jan-98,5500,5500,,[151]
Nakhodka,"Japan, Sea of Japan","38.848848, 135",Dec-97,6240,6240,,[180]
Julie N.,"United States, Portland, Maine","43.6590993, -70.2568189",27-Sep-96,586,586,,[181]
Sea Empress,"United Kingdom, Milford Haven, Pembrokeshire","51.714306, -5.0426971",15-Feb-96,40000,72000,Seatankers Management,[151][163]
North Cape,"United States, Rhode Island","41.5800945, -71.4774291",19-Jan-96,2500,2500,,[182]
MV Iron Baron (1985),"Hebe Reef, Tasmania","-41.05, 146.7333333",10 July 1995 � 30 July 1995,300,325,BHP Shipping,[183]
Irene,"Namibia, near Walvis Bay","-22.9584081, 14.5057511",1995,700,700,,[184]
Komi oil pipeline,"Russia, Usinsk, Komi Republic","65.9940081, 57.5570107",June 1994 - October 1994,100000,251763,Lukoil,[185][186][187]
Apollo Sea,"South Africa, Cape Town","-33.9248685, 18.4240553",Jun-94,2400,2400,,[188]
Seki,UAE,"23.424076, 53.847818",31-Mar-94,15900,15900,World-Wide Shipping Agency,[151]
Morris J. Berman,Puerto Rico,"18.220833, -66.590149",07-Jan-94,2600,2600,New England Marine Services,[189]
MV Braer,"United Kingdom, Shetland","60.5296507, -1.2659409",05-Jan-93,85000,85000,,[163]
Aegean Sea,"Spain, A Coruña","43.3623436, -8.4115401",03-Dec-92,74000,74000,Coulouthros Ltd,[163]
"Port Bonython oil spill, Era","Australia, Spencer Gulf, South Australia","-34.3036498, 136.9805103",30-Aug-92,296,296,BP,[190]
Katina P,"Mozambique, Maputo","-25.969248, 32.5731746",19-26 April 1992,72000,72000,,[191][163]
Fergana Valley,Uzbekistan,"41.377491, 64.585262",02-Mar-92,285000,285000,,[151]
Kirki,"Australia, Indian Ocean, off the coast of Western Australia","37.0423805, -95.57917739999999",21-Jul-91,17280,17280,BP,[192]
ABT Summer,Angola,"-11.202692, 17.873887",28-May-91,260000,260000,National Iranian Tanker Company,[163]
MT Haven,"Italy, Mediterranean Sea near Genoa","44.4056499, 8.946256",11-Apr-91,144000,144000,Amoco,[163]
MB Vesta Bella,", Saint Kitts and Nevis, Nevis, 12 miles northeast of island","17.1553558, -62.57960259999999",06-Mar-91,1762,1814,Offshore Marine Ltd,[193]
Sanko Harvest,"Australia, Western Australia, near Hood Island, 33 km from Esperance","-34.1418763, 122.0510729",14-Feb-91,717,717,Sanko Steamship Co,[194]
Gulf War oil spill,"Iraq, Persian Gulf","26.7505337, 51.6834275",23-Jan-91,270000,820000,,[195] [196]
