Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,1922.979980,2035.800049,1849.439941,1866.780029,1866.780029,73148800
2019-08-01,1871.719971,1897.920044,1743.510010,1776.290039,1776.290039,79771200
2019-09-01,1770.000000,1853.660034,1709.219971,1735.910034,1735.910034,61172900
2019-10-01,1746.000000,1798.849976,1685.060059,1776.660034,1776.660034,70360500
2019-11-01,1788.010010,1824.689941,1722.709961,1800.800049,1800.800049,52076200
2019-12-01,1804.400024,1901.400024,1735.000000,1847.839966,1847.839966,68149600
2020-01-01,1875.000000,2055.719971,1815.339966,2008.719971,2008.719971,84698300
2020-02-01,2010.599976,2185.949951,1811.130005,1883.750000,1883.750000,92510100
2020-03-01,1906.489990,1996.329956,1626.030029,1949.719971,1949.719971,163809100
2020-04-01,1932.969971,2475.000000,1889.150024,2474.000000,2474.000000,124609800
2020-05-01,2336.800049,2525.449951,2256.379883,2442.370117,2442.370117,82584400
2020-06-01,2448.000000,2796.000000,2437.129883,2758.820068,2758.820068,87818300
2020-07-01,2757.989990,3344.290039,2754.000000,3164.679932,3164.679932,127502000
2020-08-01,3180.510010,3495.000000,3073.000000,3450.959961,3450.959961,83516600
2020-09-01,3489.580078,3552.250000,2871.000000,3148.729980,3148.729980,115899300
2020-10-01,3208.000000,3496.239990,3019.000000,3036.149902,3036.149902,116226100
2020-11-01,3061.739990,3366.800049,2950.120117,3168.040039,3168.040039,90810500
2020-12-01,3188.500000,3350.649902,3072.820068,3256.929932,3256.929932,77556200
2021-01-01,3270.000000,3363.889893,3086.000000,3206.199951,3206.199951,71528900
2021-02-01,3242.360107,3434.000000,3036.699951,3092.929932,3092.929932,72107000
2021-03-01,3127.889893,3182.000000,2881.000000,3094.080078,3094.080078,78188000
2021-04-01,3117.939941,3554.000000,3115.550049,3467.419922,3467.419922,76839600
2021-05-01,3484.729980,3486.649902,3127.370117,3223.070068,3223.070068,75183900
2021-06-01,3243.500000,3524.860107,3172.199951,3440.159912,3440.159912,67011000
2021-07-01,3434.610107,3773.080078,3306.979980,3327.590088,3327.590088,83720800
2021-08-01,3353.100098,3472.580078,3175.760010,3470.790039,3470.790039,62813700
2021-09-01,3496.399902,3549.989990,3273.989990,3285.040039,3285.040039,62523700
2021-10-01,3289.010010,3479.000000,3176.250000,3372.429932,3372.429932,63649200
2021-11-01,3361.800049,3762.149902,3283.550049,3507.070068,3507.070068,75795100
2021-12-01,3545.000000,3559.879883,3303.899902,3334.340088,3334.340088,64371400
2022-01-01,3351.000000,3428.000000,3126.090088,3242.760010,3242.760010,29791500
